"ID","NONMOTOR","CAR1","CAR2","CAR3","VAN1","VAN2","VAN3","SUV1","SUV2","SUV3","PICKUP1","PICKUP2","PICKUP3","MOTOR","NCAR1","NCAR2","NCAR3","NVAN1","NVAN2","NVAN3","NSUV1","NSUV2","NSUV3","NPICKUP1","NPICKUP2","NPICKUP3"
39,1225.6956653025,0,0,0,46315.4029298045,0,0,0,0,0,19474.4449943079,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
40,438.296062625815,0,0,6892.02926583702,35091.6167815476,0,0,0,0,0,0,0,0,4377.28566826694,0,0,1,1,0,0,0,0,0,0,0,0
41,1403.3449944466,17381.5625129055,9767.52373508414,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
42,391.786781061593,8218.26708317224,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,681.759142471374,21498.835919664,0,0,0,0,0,16883.0982778432,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
44,798.5305802199,0,0,0,0,0,0,27752.6739597325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,421.625858515847,0,0,0,21223.2194140824,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,364.210979115954,0,0,0,6492.02862744328,0,0,0,0,0,8571.78415487283,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
47,647.064317927578,0,0,17662.7232980236,0,12183.2510705371,0,0,0,0,0,0,19770.8404596108,0,0,0,1,0,1,0,0,0,0,0,0,1
48,859.995147984334,0,0,15215.7150933704,0,0,0,9241.78713889265,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
49,317.375070622718,0,0,12473.8978371128,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,836.536187370318,0,0,35032.4966622337,0,0,0,27615.6458355549,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
51,1271.69323851,34230.3249982774,16647.4857835206,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
52,634.991723994532,0,16239.8870551389,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,514.684717037578,0,22173.300011071,0,0,0,0,18923.492422277,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
54,344.974555771915,0,0,0,0,0,2971.49540306263,12075.289065683,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
55,711.200388125732,0,0,0,0,0,0,0,20585.3164673664,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,1763.81756642349,0,25197.9661061151,10228.3695878963,0,9236.483443446,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
57,771.738675562051,12528.9056839028,0,7578.78582924366,0,0,0,0,0,0,0,0,3544.62487023367,0,1,0,1,0,0,0,0,0,0,0,0,1
58,276.343805727027,1449.30410188272,1097.73168749761,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
59,589.924947043944,0,0,0,6410.789456686,0,0,0,0,0,23336.2640218098,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
60,500.861300212722,0,11310.351164775,0,0,0,0,0,9959.92869510745,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
61,1172.83536209036,0,0,29952.1073697944,0,0,0,0,0,0,0,17975.9873414992,0,0,0,0,1,0,0,0,0,0,0,0,1,0
62,367.283869454924,0,11676.2472601886,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,410.819912869404,0,12342.018835442,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,488.987497364265,0,0,0,0,0,0,12015.2206048564,4407.92020733002,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
65,328.749562572014,0,0,0,0,11043.3909788966,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,875.121475105325,0,0,0,0,0,0,0,0,0,0,26044.4313689217,0,0,0,0,0,0,0,0,0,0,0,0,1,0
67,194.937225759099,0,0,0,0,0,0,2415.7191002913,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68,647.030863100274,0,0,17318.5352640022,7062.5692312624,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
69,496.003293633987,14038.6947183278,0,5983.80028417057,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
70,1352.15468419585,0,0,0,0,48387.7111305742,0,14844.741132408,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
71,1204.55423920056,8901.1211390456,6029.02491760568,4020.94786432968,0,0,0,0,0,0,4871.90338227216,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
72,110.403930331662,176.441625656477,78.1544440118604,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
73,59.3029256412922,0,123.197074358708,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,211.727669225151,3569.85925620464,0,1168.9356689651,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
75,273.113657970007,0,0,0,0,727.126747515383,0,2720.85203276828,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
76,1651.07013621349,11449.3407915103,7211.93126896254,0,0,0,0,0,2978.03158138466,0,7302.7731540687,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
77,230.637037067449,0,0,0,0,0,0,14656.3791846613,0,0,0,0,9013.72355830976,0,0,0,0,0,0,0,1,0,0,0,0,1
78,523.921966338263,0,11971.7273882314,0,0,0,0,0,0,0,0,3236.7422685058,0,0,0,1,0,0,0,0,0,0,0,0,1,0
79,248.144414573703,0,5506.08514220303,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,275.880790052843,0,5035.59882602012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,325.102354063764,0,0,0,0,0,0,7048.8117331289,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,865.434776172472,0,0,0,0,0,0,0,0,0,0,0,13559.3484960652,0,0,0,0,0,0,0,0,0,0,0,0,1
83,561.076754605662,0,20735.3433579349,0,0,0,0,0,0,0,0,0,8166.74946661906,0,0,1,0,0,0,0,0,0,0,0,0,1
84,656.385155350122,11255.1738687348,0,0,0,0,0,8247.96107519932,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
85,475.839758032881,0,0,16884.3480408073,0,9470.88754025058,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
86,272.325695863125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,836.421973100442,20487.2121102459,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88,508.653535469347,0,8025.47919636792,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
89,752.082351850167,0,0,0,0,0,0,19789.7425639969,10270.5164698771,0,8455.00370162777,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
90,480.811225750016,12697.0901977731,0,0,0,0,0,15981.9544365624,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
91,324.165176483257,4654.37609250631,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92,1611.60492397859,0,42300.7617016475,0,0,0,0,0,0,0,0,0,0,4084.9245971449,0,1,0,0,0,0,0,0,0,0,0,0
93,204.671498821808,0,0,0,0,25978.6825903845,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
94,1344.1327704377,0,0,0,0,0,0,0,0,0,67329.3057079028,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
95,502.783996871714,0,23864.2342327322,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
96,820.222669712358,0,0,0,0,0,0,0,0,0,0,17275.3054076835,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97,158.120047492845,0,956.266048582279,0,0,0,0,0,347.466816391237,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
98,310.904159994035,5448.53737989428,0,0,0,0,0,0,1837.59324077135,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
